;Arr;Dep;Label;Shunting
to Częstochowa;;;;
####;;;;
IC - IC;;;;
41004;;;;
BATHORY;;;;
from Budapest-Nyugati;;;;
"""KL"", ""ST"", 2, ""(2)""";;;;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";;;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";;;;
"""Bry-KO"", ""PODG+Sem(ST)"", 2, ""1"", ""(1)""";;;;
"""KO"", ""ST"", 10, ""(4)""";16:15;16:23;Katowice;
"""KO"", ""ST"", 118, ""(N/A)""";;;;
"""KO-KZ"", ""SBL+Sem(ST)"", 2, ""1"", ""(1)""";;;;
"""KZ"", ""ST"", 2, ""(1)""";;;;
to Brest-Centralnyi;;;;
####;;;;
KS - OsP;;;;
94113;;;;
S5 SPRINTER;;;;
departs from Katowice;;;;
"""Rac(KS)"", ""B-M"", 200, ""(N/A)""";;;;Y
"""KO"", ""ST"", 1, ""(2)""";;16:24;Katowice;
"""KO-Bugla-Bry-1"", ""Sem(ST)+SBL"", 1, ""1"", ""(2)""";;;;
"""KO-Bugla-Bry-2"", ""SBL+Sem(PODG)"", 1, ""2"", ""(2)""";;;;
"""Bry-KL-1"", ""SBL+POGP"", 1, ""1"", ""(2)""";;;;
"""Bry-KL-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;
"""KL"", ""ST"", 2, ""(2)""";16:30;16:30;Katowice Ligota;
to Żywiec;;;;
####;;;;
KS - Os;;;;
40673;;;;
S1;;;;
from Czestochowa;;;;
"""KZ"", ""ST"", 1, ""(1)""";16:14;16:14;Katowice Zawodzie;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";;;;
"""KO"", ""ST"", 117, ""(N/A)""";;;;
"""KO"", ""ST"", 7, ""(1)""";16:18;16:30;Katowice;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";16:32;16:32;Katowice Załęże;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;
"""CB"", ""ST"", 1, ""(1)""";16:36;16:36;Chorzów Batory;
to Gliwice;;;;
####;;;;
IC - TLK;;;;
54101;;;;
DOKER;;;;
from Gdynia Główna via Koluszki;;;;
"""KZ"", ""ST"", 1, ""(1)""";;;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";;;;
"""KO"", ""ST"", 117, ""(N/A)""";;;;
"""KO"", ""ST"", 9, ""(1)""";16:28;;Katowice;
"""KO"", ""ST"", 113, ""(N/A)""";;;;Y
"""KO(IC)"", ""B-M"", 500, ""(N/A)""";;;;Y
terminates in Katowice;;;;
####;;;;
KS - Os;;;;
40477;;;;
S4;;;;
departs from Katowice;;;;
"""KO"", ""ST-M"", 1113, ""(N/A)""";;;;Y
"""KO"", ""ST"", 7, ""(1)""";;16:29;Katowice;
"""KO-Bugla-Bry-1"", ""Sem(ST)+SBL"", 1, ""1"", ""(2)""";;;;
"""KO-Bugla-Bry-2"", ""SBL+Sem(PODG)"", 1, ""2"", ""(2)""";;;;
"""Bry-KL-1"", ""SBL+POGP"", 1, ""1"", ""(2)""";16:32;16:32;Katowice Brynów;
"""Bry-KL-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;
"""KL"", ""ST"", 2, ""(2)""";16:35;16:35;Katowice Ligota;
to Tychy Lodowisko;;;;
####;;;;
IC - EIP;;;;
