;Arr;Dep;Approx_enter;Label;Shunting;
"""CB"", ""ST"", 2, ""(1)""";;;;;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";;;;;;
"""KTC-KO-1"", ""SBL+PO(ZaÅ‚Ä™Å¼e)"", 2, ""1"", ""(2)""";;;;;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";;;;;;
"""KO"", ""ST"", 4, ""(3)""";16:06;16:09;;Katowice;;
"""KO"", ""ST"", 114, ""(N/A)""";;;;;;
"""KO-KZ"", ""SBL+Sem(ST)"", 4, ""1"", ""(1)""";;;;;;
"""KZ"", ""ST"", 4, ""(2)""";;;;;;
to KrakÃ³w GÅ‚Ã³wny;;;;;;
####;;;;;;
KS - Os;;;;;;
40518;;;;;;
S4;;;;;;
from Tychy Lodowisko;;;;;;
"""TMo-Ty"", ""Sem(odstêp)"", 2, ""1"", ""(1)""";;;;;;Czy tu jest potrzebny odjazd?
"""Ty"", ""ST"", 2, ""(2)""";15:44;15:51;;Tychy;;
"""Ty"", ""ST"", 102, ""(N/A)""";;;;;;
"""Ty-Mc"", ""Sem(odstep)"", 2, ""1"", ""(1)""";;;;;;
"""Mc"", ""PODG"", 2, ""(N/A)""";;;;;;
"""Mc-KL-1"", ""SBL"", 2, ""1"", ""(5)""";;;;;;
"""Mc-KL-2"", ""SBL+PO(Podlesie)"", 2, ""2"", ""(5)""";15:57;15:57;;Katowice Podlesie;;
"""Mc-KL-3"", ""SBL"", 2, ""3"", ""(5)""";;;;;;
"""Mc-KL-4"", ""SBL"", 2, ""4"", ""(5)""";;;;;;
"""Mc-KL-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";16:00;16:00;;Katowice Piotrowice;;
"""KL"", ""ST"", 2, ""(2)""";16:02;16:03;;Katowice Ligota;;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";;;;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";;;;;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";16:06;16:06;;Katowice BrynÃ³w;;
"""Bry-KO"", ""PODG+Sem(ST)"", 2, ""1"", ""(1)""";;;;;;
"""KO"", ""ST"", 3, ""(2)""";16:09;;;Katowice;;
"""KO"", ""ST-M"", 1113, ""(N/A)""";;;;;Y;
terminates in Katowice;;;;;;
####;;;;;;
PR - R;;;;;;
34319;;;;;;
No name;;;;;;
from KrakÃ³w GÅ‚Ã³wny;;;;;;
"""KZ"", ""ST"", 3, ""(2)""";16:10;16:10;;Katowice Zawodzie;;
"""KZ-KO"", ""SBL+Sem(ST)"", 3, ""1"", ""(1)""";;;;;;
"""KO"", ""ST"", 114, ""(N/A)""";;;;;;
"""KO"", ""ST"", 10, ""(4)""";16:14;;;Katowice;;
"""KO"", ""ST-M"", 1118, ""(N/A)""";;;;;Y;
"terminates in Katowice; turn around";;;;;;Jak to zamodelowac? W sensie turnaround
####;;;;;;
IC - IC;;;;;;
14006;;;;;;
SILESIA;;;;;;
from Warszawa Wschodnia;;;;;;
"""KZ"", ""ST"", 1, ""(1)""";;;16:06;;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";;;;;;
"""KO"", ""ST"", 117, ""(N/A)""";;;;;;
"""KO"", ""ST"", 9, ""(1)""";16:10;16:19;;Katowice;;
"""KO-Bugla-Bry-1"", ""Sem(ST)+SBL"", 1, ""1"", ""(2)""";;;;;;
"""KO-Bugla-Bry-2"", ""SBL+Sem(PODG)"", 1, ""2"", ""(2)""";;;;;;
"""Bry-KL-1"", ""SBL+POGP"", 1, ""1"", ""(2)""";;;;;;
"""Bry-KL-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;;;
"""KL"", ""ST"", 1, ""(2)""";;;;;;
"""KL-Mc-1"", ""SBL+PO(Piotrowice)"", 1, ""1"", ""(6)""";;;;;;
"""KL-Mc-2"", ""SBL"", 1, ""2"", ""(6)""";;;;;;
"""KL-Mc-3"", ""SBL"", 1, ""3"", ""(6)""";;;;;;
"""KL-Mc-4"", ""SBL+PO(Podlesie)"", 1, ""4"", ""(6)""";;;;;;
"""KL-Mc-5"", ""SBL"", 1, ""5"", ""(6)""";;;;;;
"""KL-Mc-6"", ""SBL+Sem(PODG)"", 1, ""6"", ""(6)""";;;;;;
"""Mc"", ""PODG"", 1, ""(N/A)""";;;;;;
"""Mc-Ty"", ""Sem(odstep)+Sem(ST)"", 1, ""1"", ""(1)""";;;;;;
"""Ty"", ""ST"", 101, ""(N/A)""";;;;;;
"""Ty"", ""ST"", 9, ""(3)""";16:33;16:34;;Tychy;;
"""Ty-£Œ"", ""Sem(odstep)"", 1, ""1"", ""(1)""";;;;;;
to Praha Hlavni Nadrazi;;;;;;
####;;;;;;
KS - OsP;;;;;;
94611;;;;;;
S6;;;;;;
departs from Katowice;;;;;;
"""Rac(KS)"", ""B-M"", 200, ""(N/A)""";;;16:00;;Y;Zmiana czo³a w KO, czy dobra godzina wyjazdu
"""KO"", ""ST"", 1, ""(2)""";;16:12;;Katowice;;
"""KO-Bugla-Bry-1"", ""Sem(ST)+SBL"", 1, ""1"", ""(2)""";;;;;;
"""KO-Bugla-Bry-2"", ""SBL+Sem(PODG)"", 1, ""2"", ""(2)""";;;;;;
