previous_block;next_block;direction;default_A-B;default_B-A;switches;time_inter_city;time_regional_train
"KO", "ST", 6, "(N/A)";"KO-Bry", "ST+Sem(PODG)", 3, "1", "(1)";Bry;N;N;83,89,90,95;2;2
"KO", "ST", 6, "(N/A)";"Bry-KO", "PODG+Sem(ST)", 2, "1", "(1)";Bry;N;N;83,89,90,93;2;2
"KO", "ST", 8, "(4)";"KO-KTC-1", "SBL", 1, "1", "(2)";KTC;N;Y;82,84,86,89,90,92;2;2
"KO", "ST", 8, "(4)";"KTC-KO-2", "SBL+Sem(ST)", 2, "2", "(2)";KTC;N;Y;82,84,86,89,91;2;2
"KO", "ST", 8, "(4)";"Rac(KS)", "B-M", 200, "(N/A)";Rac(KS);Y;Y;82,84,86,89,90,95;3;3
"KO", "ST", 8, "(4)";"KO-Bry", "ST+Sem(PODG)", 3, "1", "(1)";Bry;Y;N;82,84,86,89,90,95;2;2
"KO", "ST", 8, "(4)";"Bry-KO", "PODG+Sem(ST)", 2, "1", "(1)";Bry;N;Y;82,84,86,93;2;2
"KO", "ST", 10, "(4)";"KO-KTC-1", "SBL", 1, "1", "(2)";KTC;N;Y;82,84,86,89,90,92;2;2
"KO", "ST", 10, "(4)";"KTC-KO-2", "SBL+Sem(ST)", 2, "2", "(2)";KTC;N;Y;82,84,86,89,91;2;2
"KO", "ST", 10, "(4)";"Rac(KS)", "B-M", 200, "(N/A)";Rac(KS);Y;Y;82,84,86,89,90,95;3;3
"KO", "ST", 10, "(4)";"KO-Bry", "ST+Sem(PODG)", 3, "1", "(1)";Bry;Y;N;82,84,86,89,90,95;2;2
"KO", "ST", 10, "(4)";"Bry-KO", "PODG+Sem(ST)", 2, "1", "(1)";Bry;N;Y;82,84,86,93;2;2
"KO-KTC-1", "SBL", 1, "1", "(2)";"KO-KTC-2", "SBL+POGP", 1, "2", "(2)";CB;Y;N;N/A;1.4;1.40
"KTC-KO-2", "SBL+Sem(ST)", 2, "2", "(2)";"KTC-KO-1", "SBL+PO(Załęże)", 2, "1", "(2)";CB;N;Y;N/A;1.4;1.4
"KO-KTC-2", "SBL+POGP", 1, "2", "(2)";"KTC-CB-1", "SBL", 1, "1", "(2)";CB;Y;N;415;1.7;1.1
"KO-KTC-2", "SBL+POGP", 1, "2", "(2)";"CB-KTC-2", "SBL+Sem(PODG)", 2, "2", "(2)";CB;N;N;415,416;1.7;1.1
"KO-KTC-2", "SBL+POGP", 1, "2", "(2)";"KTC-Gt", "Sem(PODG)+Sem(PODG)", 1, "1", "(1)";Gottwald;N;N;415,416,417;6.5;6.5
"KTC-KO-1", "SBL+PO(Załęże)", 2, "1", "(2)";"CB-KTC-2", "SBL+Sem(PODG)", 2, "2", "(2)";CB;N;Y;416;1.1;1.7
"KTC-KO-1", "SBL+PO(Załęże)", 2, "1", "(2)";"KTC-Gt", "Sem(PODG)+Sem(PODG)", 1, "1", "(1)";CB;N;N;416,417;6.5;6.5
"KTC-CB-2", "SBL+Sem(ST)", 1, "2", "(2)";"CB", "ST", 1, "(1)";CB;Y;N;5,8;0.8;0.8
"KTC-CB-2", "SBL+Sem(ST)", 1, "2", "(2)";"CB", "ST", 2, "(1)";CB;N;N;5,8;1.2;1.2
"KTC-CB-2", "SBL+Sem(ST)", 1, "2", "(2)";"CB", "ST", 3, "(2)";CB;Y;N;5,8,9;0.8;0.8
"KTC-CB-2", "SBL+Sem(ST)", 1, "2", "(2)";"CB", "ST", 4, "(2)";CB;N;N;5,6,7;1.2;1.2
"CB-KTC-1", "SBL", 2, "1", "(2)";"CB", "ST", 2, "(1)";CB;N;Y;9,7,6;0.8;0.8
"CB-KTC-1", "SBL", 2, "1", "(2)";"CB", "ST", 3, "(2)";CB;N;N;9,7,6;1.2;1.2
"CB-KTC-1", "SBL", 2, "1", "(2)";"CB", "ST", 4, "(2)";CB;N;Y;7,6;0.8;0.8
"KTC-Gt", "Sem(PODG)+Sem(PODG)", 1, "1", "(1)";"Gt-CB", "Sem(PODG)+Sem(ST)", 1, "1", "(1)";CB;N;N;1;5;5
"CB", "ST", 5, "(N/A)";"CB", "ST", 10, "(N/A)";CB;N;N;25,26;2;2
